nohup: ignoring input
CFD-1D data loaded: x (128, 10, 3), y (128, 21, 3), grid (128, 1)
parameters: 35905
epoch 0000 | 5.51s | train_full 6.775381e-01 | test_full 9.044467e-01
epoch 0001 | 5.31s | train_full 6.423700e-01 | test_full 8.594769e-01
epoch 0002 | 5.22s | train_full 6.130038e-01 | test_full 8.177556e-01
epoch 0003 | 5.23s | train_full 5.850529e-01 | test_full 7.778518e-01
epoch 0004 | 5.13s | train_full 5.586734e-01 | test_full 7.395321e-01
epoch 0005 | 5.32s | train_full 5.331485e-01 | test_full 7.025592e-01
epoch 0006 | 5.22s | train_full 5.086421e-01 | test_full 6.674664e-01
epoch 0007 | 5.17s | train_full 4.851914e-01 | test_full 6.347393e-01
epoch 0008 | 5.11s | train_full 4.628378e-01 | test_full 6.052394e-01
epoch 0009 | 5.24s | train_full 4.424193e-01 | test_full 5.790125e-01
epoch 0010 | 5.35s | train_full 4.235619e-01 | test_full 5.556638e-01
epoch 0011 | 5.25s | train_full 4.068563e-01 | test_full 5.362386e-01
epoch 0012 | 5.16s | train_full 3.917998e-01 | test_full 5.195753e-01
epoch 0013 | 5.27s | train_full 3.789213e-01 | test_full 5.056480e-01
epoch 0014 | 5.25s | train_full 3.672757e-01 | test_full 4.945035e-01
epoch 0015 | 5.17s | train_full 3.575365e-01 | test_full 4.860358e-01
epoch 0016 | 5.21s | train_full 3.495596e-01 | test_full 4.799794e-01
epoch 0017 | 5.19s | train_full 3.424315e-01 | test_full 4.761086e-01
epoch 0018 | 5.18s | train_full 3.370014e-01 | test_full 4.738296e-01
epoch 0019 | 5.13s | train_full 3.321311e-01 | test_full 4.727313e-01
epoch 0020 | 5.06s | train_full 3.288773e-01 | test_full 4.728369e-01
epoch 0021 | 5.12s | train_full 3.262776e-01 | test_full 4.739680e-01
epoch 0022 | 5.14s | train_full 3.244608e-01 | test_full 4.759526e-01
epoch 0023 | 5.17s | train_full 3.219990e-01 | test_full 4.251203e-01
epoch 0024 | 5.67s | train_full 3.017453e-01 | test_full 6.366598e-01
epoch 0025 | 5.18s | train_full 4.100541e-01 | test_full 4.970554e-01
epoch 0026 | 5.79s | train_full 3.640274e-01 | test_full 4.943716e-01
epoch 0027 | 5.23s | train_full 3.613117e-01 | test_full 4.918868e-01
epoch 0028 | 5.12s | train_full 3.587048e-01 | test_full 4.895717e-01
epoch 0029 | 5.30s | train_full 3.561380e-01 | test_full 4.874050e-01
epoch 0030 | 4.95s | train_full 3.536831e-01 | test_full 4.855787e-01
epoch 0031 | 4.78s | train_full 3.513937e-01 | test_full 4.839142e-01
epoch 0032 | 4.89s | train_full 3.490232e-01 | test_full 4.824092e-01
epoch 0033 | 4.98s | train_full 3.469024e-01 | test_full 4.811449e-01
epoch 0034 | 4.93s | train_full 3.447630e-01 | test_full 4.801073e-01
epoch 0035 | 5.56s | train_full 3.372812e-01 | test_full 4.672342e-01
epoch 0036 | 5.79s | train_full 3.239867e-01 | test_full 4.670478e-01
epoch 0037 | 5.73s | train_full 3.229569e-01 | test_full 4.669021e-01
epoch 0038 | 5.10s | train_full 3.227600e-01 | test_full 4.679367e-01
epoch 0039 | 5.03s | train_full 3.221034e-01 | test_full 4.716698e-01
