nohup: ignoring input
CFD-1D data loaded: x (128, 10, 3), y (128, 21, 3), grid (128, 1)
CFD normalization enabled: mean=[5.901447772979736, 59.42569351196289, -0.013067927211523056], std=[3.443497896194458, 30.31511116027832, 0.49779248237609863]
parameters: 35905
epoch 0000 | 9.53s | train_full 1.241424e-01 | test_full 1.289063e-01
epoch 0001 | 8.86s | train_full 8.267442e-02 | test_full 1.153415e-01
epoch 0002 | 8.69s | train_full 7.507362e-02 | test_full 1.077966e-01
epoch 0003 | 8.43s | train_full 6.703278e-02 | test_full 9.185515e-02
epoch 0004 | 8.39s | train_full 6.235019e-02 | test_full 8.700953e-02
epoch 0005 | 8.59s | train_full 5.909167e-02 | test_full 8.640107e-02
epoch 0006 | 8.61s | train_full 5.658927e-02 | test_full 8.737004e-02
epoch 0007 | 8.48s | train_full 5.379850e-02 | test_full 8.170070e-02
epoch 0008 | 8.36s | train_full 5.187089e-02 | test_full 7.369381e-02
epoch 0009 | 8.44s | train_full 5.146867e-02 | test_full 7.674394e-02
epoch 0010 | 8.50s | train_full 5.014471e-02 | test_full 7.419101e-02
epoch 0011 | 8.32s | train_full 4.953036e-02 | test_full 6.957642e-02
epoch 0012 | 8.51s | train_full 4.816805e-02 | test_full 7.430052e-02
epoch 0013 | 8.59s | train_full 4.662093e-02 | test_full 6.780393e-02
epoch 0014 | 8.56s | train_full 4.551794e-02 | test_full 6.558445e-02
epoch 0015 | 8.38s | train_full 4.524376e-02 | test_full 7.404041e-02
epoch 0016 | 8.36s | train_full 4.675486e-02 | test_full 6.994705e-02
epoch 0017 | 8.55s | train_full 4.419736e-02 | test_full 7.047565e-02
epoch 0018 | 8.60s | train_full 4.468760e-02 | test_full 7.156619e-02
epoch 0019 | 8.79s | train_full 4.430305e-02 | test_full 6.968989e-02
epoch 0020 | 8.72s | train_full 4.361430e-02 | test_full 6.549870e-02
epoch 0021 | 8.78s | train_full 4.331112e-02 | test_full 6.400318e-02
epoch 0022 | 8.73s | train_full 4.182522e-02 | test_full 6.695056e-02
epoch 0023 | 8.71s | train_full 4.187048e-02 | test_full 6.794945e-02
epoch 0024 | 8.77s | train_full 4.228635e-02 | test_full 6.324111e-02
epoch 0025 | 8.78s | train_full 4.206421e-02 | test_full 7.059803e-02
epoch 0026 | 8.91s | train_full 4.234261e-02 | test_full 7.235756e-02
epoch 0027 | 8.76s | train_full 4.206026e-02 | test_full 6.023643e-02
epoch 0028 | 8.68s | train_full 4.057559e-02 | test_full 6.667619e-02
epoch 0029 | 8.91s | train_full 4.102667e-02 | test_full 6.796062e-02
epoch 0030 | 8.47s | train_full 4.055888e-02 | test_full 6.039487e-02
epoch 0031 | 8.37s | train_full 3.954360e-02 | test_full 6.383472e-02
epoch 0032 | 7.90s | train_full 4.048025e-02 | test_full 5.932708e-02
epoch 0033 | 8.47s | train_full 3.866635e-02 | test_full 5.894356e-02
epoch 0034 | 8.29s | train_full 4.134132e-02 | test_full 6.091379e-02
epoch 0035 | 8.42s | train_full 3.990519e-02 | test_full 6.710779e-02
epoch 0036 | 8.34s | train_full 3.992645e-02 | test_full 6.066023e-02
epoch 0037 | 8.29s | train_full 3.874137e-02 | test_full 6.182371e-02
epoch 0038 | 8.22s | train_full 4.026049e-02 | test_full 5.930715e-02
epoch 0039 | 8.28s | train_full 3.956600e-02 | test_full 6.148799e-02
epoch 0040 | 8.51s | train_full 3.943781e-02 | test_full 6.762804e-02
epoch 0041 | 8.61s | train_full 3.743571e-02 | test_full 5.735729e-02
epoch 0042 | 8.39s | train_full 3.758387e-02 | test_full 5.524049e-02
epoch 0043 | 8.23s | train_full 3.719830e-02 | test_full 5.943708e-02
epoch 0044 | 8.39s | train_full 3.704494e-02 | test_full 5.998350e-02
epoch 0045 | 8.67s | train_full 3.709261e-02 | test_full 6.459305e-02
epoch 0046 | 8.88s | train_full 3.670537e-02 | test_full 5.785402e-02
epoch 0047 | 8.86s | train_full 3.587989e-02 | test_full 5.571194e-02
epoch 0048 | 8.86s | train_full 3.603046e-02 | test_full 6.293094e-02
epoch 0049 | 8.69s | train_full 3.710772e-02 | test_full 5.382486e-02
epoch 0050 | 8.78s | train_full 3.616334e-02 | test_full 5.446145e-02
epoch 0051 | 8.85s | train_full 3.733211e-02 | test_full 5.427472e-02
epoch 0052 | 8.90s | train_full 3.690982e-02 | test_full 6.132524e-02
epoch 0053 | 8.74s | train_full 3.735220e-02 | test_full 7.307509e-02
epoch 0054 | 8.77s | train_full 3.666926e-02 | test_full 5.369744e-02
epoch 0055 | 8.76s | train_full 3.526348e-02 | test_full 5.279546e-02
epoch 0056 | 8.63s | train_full 3.617141e-02 | test_full 5.513562e-02
epoch 0057 | 8.80s | train_full 3.623410e-02 | test_full 5.967109e-02
epoch 0058 | 8.78s | train_full 3.558118e-02 | test_full 5.284827e-02
epoch 0059 | 8.79s | train_full 3.559936e-02 | test_full 5.620188e-02
epoch 0060 | 8.81s | train_full 3.702803e-02 | test_full 5.809726e-02
epoch 0061 | 8.74s | train_full 3.561461e-02 | test_full 6.432596e-02
epoch 0062 | 8.72s | train_full 3.602250e-02 | test_full 5.350605e-02
epoch 0063 | 8.79s | train_full 3.547600e-02 | test_full 5.284599e-02
epoch 0064 | 8.78s | train_full 3.448862e-02 | test_full 5.236468e-02
epoch 0065 | 8.72s | train_full 3.543182e-02 | test_full 5.399714e-02
epoch 0066 | 8.82s | train_full 3.534379e-02 | test_full 5.776835e-02
epoch 0067 | 8.70s | train_full 3.528465e-02 | test_full 5.269073e-02
epoch 0068 | 8.81s | train_full 3.512501e-02 | test_full 6.499680e-02
epoch 0069 | 8.81s | train_full 3.516466e-02 | test_full 5.445223e-02
epoch 0070 | 8.72s | train_full 3.548466e-02 | test_full 5.980969e-02
epoch 0071 | 8.74s | train_full 3.547047e-02 | test_full 5.405184e-02
epoch 0072 | 8.55s | train_full 3.705994e-02 | test_full 5.860580e-02
epoch 0073 | 8.53s | train_full 3.363468e-02 | test_full 5.554271e-02
epoch 0074 | 8.80s | train_full 3.599300e-02 | test_full 5.082453e-02
epoch 0075 | 8.84s | train_full 3.461982e-02 | test_full 5.518817e-02
epoch 0076 | 8.63s | train_full 3.458223e-02 | test_full 6.714179e-02
epoch 0077 | 8.79s | train_full 3.426067e-02 | test_full 5.773435e-02
epoch 0078 | 8.77s | train_full 3.365062e-02 | test_full 5.728547e-02
epoch 0079 | 8.71s | train_full 3.346710e-02 | test_full 5.113628e-02
epoch 0080 | 8.79s | train_full 3.348057e-02 | test_full 6.180139e-02
epoch 0081 | 8.73s | train_full 3.578499e-02 | test_full 5.494176e-02
epoch 0082 | 8.77s | train_full 3.498741e-02 | test_full 5.142882e-02
epoch 0083 | 8.82s | train_full 3.339162e-02 | test_full 5.456032e-02
epoch 0084 | 8.75s | train_full 3.431196e-02 | test_full 4.977740e-02
epoch 0085 | 8.76s | train_full 3.405256e-02 | test_full 5.066765e-02
epoch 0086 | 8.66s | train_full 3.274318e-02 | test_full 5.171936e-02
epoch 0087 | 8.79s | train_full 3.418937e-02 | test_full 5.403506e-02
epoch 0088 | 8.75s | train_full 3.421359e-02 | test_full 5.325216e-02
epoch 0089 | 8.69s | train_full 3.328594e-02 | test_full 5.726380e-02
epoch 0090 | 8.79s | train_full 3.466052e-02 | test_full 5.384217e-02
epoch 0091 | 8.79s | train_full 3.386269e-02 | test_full 5.076168e-02
epoch 0092 | 8.74s | train_full 3.366584e-02 | test_full 5.241256e-02
epoch 0093 | 8.80s | train_full 3.345689e-02 | test_full 5.145705e-02
epoch 0094 | 8.87s | train_full 3.343656e-02 | test_full 5.385918e-02
epoch 0095 | 8.80s | train_full 3.375023e-02 | test_full 5.228955e-02
epoch 0096 | 8.74s | train_full 3.447120e-02 | test_full 4.756989e-02
epoch 0097 | 8.77s | train_full 3.250620e-02 | test_full 5.537298e-02
epoch 0098 | 8.72s | train_full 3.391904e-02 | test_full 5.439533e-02
epoch 0099 | 8.75s | train_full 3.258834e-02 | test_full 5.435305e-02
epoch 0100 | 8.90s | train_full 2.997029e-02 | test_full 4.647995e-02
epoch 0101 | 8.90s | train_full 2.951154e-02 | test_full 4.682305e-02
epoch 0102 | 8.93s | train_full 2.895494e-02 | test_full 4.772672e-02
epoch 0103 | 8.72s | train_full 2.898674e-02 | test_full 4.532344e-02
epoch 0104 | 8.79s | train_full 2.961782e-02 | test_full 4.869267e-02
epoch 0105 | 8.78s | train_full 2.901273e-02 | test_full 4.514040e-02
epoch 0106 | 8.68s | train_full 2.878668e-02 | test_full 4.754866e-02
epoch 0107 | 8.76s | train_full 2.923892e-02 | test_full 4.515601e-02
epoch 0108 | 8.78s | train_full 2.915089e-02 | test_full 4.670744e-02
epoch 0109 | 8.71s | train_full 2.871223e-02 | test_full 4.515311e-02
epoch 0110 | 8.73s | train_full 2.891798e-02 | test_full 4.363504e-02
epoch 0111 | 8.82s | train_full 2.875892e-02 | test_full 4.791152e-02
epoch 0112 | 8.73s | train_full 2.798408e-02 | test_full 4.442779e-02
epoch 0113 | 8.43s | train_full 2.911273e-02 | test_full 4.544817e-02
epoch 0114 | 8.54s | train_full 2.823756e-02 | test_full 4.539782e-02
epoch 0115 | 8.49s | train_full 2.805196e-02 | test_full 4.343020e-02
epoch 0116 | 8.85s | train_full 2.807441e-02 | test_full 5.026306e-02
epoch 0117 | 8.89s | train_full 2.849255e-02 | test_full 4.449507e-02
epoch 0118 | 8.83s | train_full 2.788925e-02 | test_full 4.284830e-02
epoch 0119 | 8.93s | train_full 2.832217e-02 | test_full 4.585371e-02
epoch 0120 | 9.22s | train_full 2.877388e-02 | test_full 4.731680e-02
epoch 0121 | 8.79s | train_full 2.858849e-02 | test_full 4.707038e-02
epoch 0122 | 8.83s | train_full 2.792548e-02 | test_full 4.532941e-02
epoch 0123 | 8.85s | train_full 2.765323e-02 | test_full 4.564548e-02
epoch 0124 | 8.76s | train_full 2.868270e-02 | test_full 4.466589e-02
epoch 0125 | 8.81s | train_full 2.722331e-02 | test_full 4.529629e-02
epoch 0126 | 8.81s | train_full 2.759145e-02 | test_full 4.296172e-02
epoch 0127 | 8.79s | train_full 2.744628e-02 | test_full 4.620724e-02
epoch 0128 | 8.89s | train_full 2.804686e-02 | test_full 4.429496e-02
epoch 0129 | 8.90s | train_full 2.829091e-02 | test_full 4.435078e-02
epoch 0130 | 8.71s | train_full 2.773824e-02 | test_full 4.153370e-02
epoch 0131 | 8.37s | train_full 2.783524e-02 | test_full 4.281061e-02
epoch 0132 | 8.23s | train_full 2.798600e-02 | test_full 4.855687e-02
epoch 0133 | 8.38s | train_full 2.787170e-02 | test_full 4.204867e-02
epoch 0134 | 8.25s | train_full 2.774073e-02 | test_full 4.466177e-02
epoch 0135 | 8.44s | train_full 2.761920e-02 | test_full 4.474340e-02
epoch 0136 | 8.43s | train_full 2.847775e-02 | test_full 4.383359e-02
epoch 0137 | 8.18s | train_full 2.760029e-02 | test_full 4.355237e-02
epoch 0138 | 8.48s | train_full 2.715117e-02 | test_full 4.246409e-02
epoch 0139 | 8.77s | train_full 2.708856e-02 | test_full 4.336930e-02
epoch 0140 | 8.72s | train_full 2.778478e-02 | test_full 4.458821e-02
epoch 0141 | 8.74s | train_full 2.688115e-02 | test_full 4.536139e-02
epoch 0142 | 8.67s | train_full 2.731572e-02 | test_full 4.549152e-02
epoch 0143 | 8.66s | train_full 2.778209e-02 | test_full 4.494829e-02
epoch 0144 | 8.74s | train_full 2.712778e-02 | test_full 4.161187e-02
epoch 0145 | 8.31s | train_full 2.735878e-02 | test_full 4.352017e-02
epoch 0146 | 8.24s | train_full 2.808492e-02 | test_full 4.258023e-02
epoch 0147 | 8.41s | train_full 2.728855e-02 | test_full 5.190430e-02
epoch 0148 | 8.11s | train_full 2.746703e-02 | test_full 4.423420e-02
epoch 0149 | 7.99s | train_full 2.746005e-02 | test_full 4.205963e-02
epoch 0150 | 8.19s | train_full 2.707854e-02 | test_full 4.366598e-02
epoch 0151 | 8.38s | train_full 2.695408e-02 | test_full 4.448636e-02
epoch 0152 | 8.47s | train_full 2.708265e-02 | test_full 4.622859e-02
epoch 0153 | 8.37s | train_full 2.697846e-02 | test_full 4.383937e-02
epoch 0154 | 8.51s | train_full 2.652328e-02 | test_full 4.398324e-02
epoch 0155 | 8.11s | train_full 2.725564e-02 | test_full 4.402454e-02
epoch 0156 | 8.56s | train_full 2.790636e-02 | test_full 4.454348e-02
epoch 0157 | 9.27s | train_full 2.683223e-02 | test_full 4.406365e-02
epoch 0158 | 9.23s | train_full 2.724479e-02 | test_full 4.178658e-02
epoch 0159 | 9.27s | train_full 2.760269e-02 | test_full 4.604877e-02
epoch 0160 | 9.22s | train_full 2.766444e-02 | test_full 4.409272e-02
epoch 0161 | 8.48s | train_full 2.769167e-02 | test_full 4.512094e-02
epoch 0162 | 8.37s | train_full 2.701024e-02 | test_full 4.334977e-02
epoch 0163 | 8.48s | train_full 2.690145e-02 | test_full 4.338500e-02
epoch 0164 | 8.51s | train_full 2.674344e-02 | test_full 4.406799e-02
epoch 0165 | 8.28s | train_full 2.740762e-02 | test_full 4.495561e-02
epoch 0166 | 8.70s | train_full 2.758857e-02 | test_full 4.322757e-02
epoch 0167 | 8.74s | train_full 2.766281e-02 | test_full 4.282099e-02
epoch 0168 | 8.78s | train_full 2.720204e-02 | test_full 4.122181e-02
