nohup: ignoring input
CFD-2D data loaded: x (64, 64, 10, 4), y (64, 64, 21, 4), grid (64, 64, 2)
CFD normalization enabled: mean=[5.029595375061035, 24.71432113647461, 3.868645217153244e-05, -0.00010047727118944749], std=[2.9331934452056885, 22.035043716430664, 0.07398594915866852, 0.07406281679868698]
parameters: 528108
epoch 0000 | 31.26s | train_full 3.294346e-01 | test_full 3.006240e-01
epoch 0001 | 30.57s | train_full 1.650144e-01 | test_full 1.732815e-01
epoch 0002 | 30.58s | train_full 1.524487e-01 | test_full 1.749851e-01
epoch 0003 | 30.53s | train_full 1.532719e-01 | test_full 1.555902e-01
epoch 0004 | 30.71s | train_full 1.461773e-01 | test_full 1.500015e-01
epoch 0005 | 33.23s | train_full 1.417672e-01 | test_full 2.426300e-01
epoch 0006 | 30.62s | train_full 1.302826e-01 | test_full 2.040054e-01
epoch 0007 | 30.54s | train_full 1.258511e-01 | test_full 1.370146e-01
epoch 0008 | 30.84s | train_full 1.338695e-01 | test_full 3.268024e-01
epoch 0009 | 29.78s | train_full 1.249919e-01 | test_full 1.542275e-01
epoch 0010 | 29.03s | train_full 1.249534e-01 | test_full 2.356584e-01
epoch 0011 | 28.99s | train_full 1.231724e-01 | test_full 1.819298e-01
epoch 0012 | 28.99s | train_full 1.250584e-01 | test_full 1.466324e-01
epoch 0013 | 30.67s | train_full 1.215275e-01 | test_full 1.642736e-01
epoch 0014 | 29.95s | train_full 1.274069e-01 | test_full 2.513741e-01
epoch 0015 | 30.62s | train_full 1.170684e-01 | test_full 1.532800e-01
epoch 0016 | 29.50s | train_full 1.153465e-01 | test_full 2.041115e-01
epoch 0017 | 28.90s | train_full 1.163313e-01 | test_full 1.187837e-01
epoch 0018 | 29.28s | train_full 1.147929e-01 | test_full 1.280365e-01
epoch 0019 | 30.02s | train_full 1.129368e-01 | test_full 1.850306e-01
epoch 0020 | 30.47s | train_full 1.119246e-01 | test_full 1.229871e-01
epoch 0021 | 28.95s | train_full 1.130280e-01 | test_full 1.346372e-01
epoch 0022 | 29.88s | train_full 1.018056e-01 | test_full 1.162180e-01
epoch 0023 | 30.72s | train_full 1.093746e-01 | test_full 1.100152e-01
epoch 0024 | 29.51s | train_full 1.032927e-01 | test_full 1.641725e-01
epoch 0025 | 28.61s | train_full 1.109372e-01 | test_full 1.270396e-01
epoch 0026 | 31.25s | train_full 9.857505e-02 | test_full 1.297587e-01
epoch 0027 | 30.52s | train_full 1.023622e-01 | test_full 1.550983e-01
epoch 0028 | 29.72s | train_full 9.998880e-02 | test_full 1.132788e-01
epoch 0029 | 29.82s | train_full 9.829364e-02 | test_full 1.004422e-01
epoch 0030 | 29.17s | train_full 9.077981e-02 | test_full 9.754224e-02
epoch 0031 | 30.74s | train_full 1.006561e-01 | test_full 1.484774e-01
epoch 0032 | 30.30s | train_full 9.653141e-02 | test_full 1.607330e-01
epoch 0033 | 30.28s | train_full 1.054562e-01 | test_full 1.244940e-01
epoch 0034 | 29.09s | train_full 8.878293e-02 | test_full 1.297620e-01
epoch 0035 | 28.33s | train_full 9.492538e-02 | test_full 1.266793e-01
epoch 0036 | 30.28s | train_full 1.031184e-01 | test_full 1.565409e-01
epoch 0037 | 29.24s | train_full 9.358197e-02 | test_full 1.022082e-01
epoch 0038 | 28.51s | train_full 9.899722e-02 | test_full 9.935645e-02
epoch 0039 | 29.80s | train_full 9.572083e-02 | test_full 1.163916e-01
epoch 0040 | 30.80s | train_full 8.862168e-02 | test_full 1.061169e-01
epoch 0041 | 30.28s | train_full 1.011763e-01 | test_full 8.974989e-02
epoch 0042 | 29.37s | train_full 9.692397e-02 | test_full 1.234957e-01
epoch 0043 | 29.51s | train_full 9.046505e-02 | test_full 9.770886e-02
epoch 0044 | 30.01s | train_full 9.969310e-02 | test_full 1.335010e-01
epoch 0045 | 28.95s | train_full 9.901674e-02 | test_full 1.130763e-01
epoch 0046 | 30.05s | train_full 1.048778e-01 | test_full 1.092788e-01
epoch 0047 | 29.76s | train_full 8.738164e-02 | test_full 8.933374e-02
epoch 0048 | 29.21s | train_full 9.222213e-02 | test_full 2.131805e-01
epoch 0049 | 29.19s | train_full 8.641052e-02 | test_full 1.436424e-01
epoch 0050 | 30.41s | train_full 8.997161e-02 | test_full 1.065967e-01
epoch 0051 | 30.68s | train_full 8.771658e-02 | test_full 2.052890e-01
epoch 0052 | 30.06s | train_full 8.194936e-02 | test_full 1.147696e-01
epoch 0053 | 30.50s | train_full 8.154924e-02 | test_full 1.625251e-01
epoch 0054 | 30.02s | train_full 8.503409e-02 | test_full 1.096254e-01
epoch 0055 | 29.23s | train_full 9.513958e-02 | test_full 8.573027e-02
epoch 0056 | 28.96s | train_full 9.069087e-02 | test_full 1.122174e-01
epoch 0057 | 29.75s | train_full 9.123341e-02 | test_full 2.787540e-01
epoch 0058 | 30.14s | train_full 8.836797e-02 | test_full 2.102494e-01
epoch 0059 | 29.66s | train_full 8.383762e-02 | test_full 1.402481e-01
epoch 0060 | 28.56s | train_full 8.085593e-02 | test_full 1.134166e-01
