nohup: ignoring input
CFD-2D data loaded: x (64, 64, 10, 4), y (64, 64, 21, 4), grid (64, 64, 2)
CFD normalization enabled: mean=[5.029595375061035, 24.71432113647461, 3.868645217153244e-05, -0.00010047727118944749], std=[2.9331934452056885, 22.035043716430664, 0.07398594915866852, 0.07406281679868698]
parameters: 2106796
epoch 0000 | 34.73s | train_full 2.819320e-01 | test_full 1.437258e-01
epoch 0001 | 34.60s | train_full 1.678847e-01 | test_full 1.828547e-01
epoch 0002 | 34.47s | train_full 1.487552e-01 | test_full 2.059249e-01
epoch 0003 | 34.47s | train_full 1.599453e-01 | test_full 1.891839e-01
epoch 0004 | 34.41s | train_full 1.628205e-01 | test_full 1.885559e-01
epoch 0005 | 34.30s | train_full 1.334304e-01 | test_full 1.265118e-01
epoch 0006 | 34.34s | train_full 1.355479e-01 | test_full 2.117887e-01
epoch 0007 | 34.24s | train_full 1.338987e-01 | test_full 1.389525e-01
epoch 0008 | 34.69s | train_full 1.151560e-01 | test_full 1.850771e-01
epoch 0009 | 34.66s | train_full 1.195065e-01 | test_full 1.665620e-01
epoch 0010 | 34.68s | train_full 1.285502e-01 | test_full 1.100675e-01
epoch 0011 | 34.16s | train_full 1.066636e-01 | test_full 1.935942e-01
epoch 0012 | 33.85s | train_full 1.230127e-01 | test_full 1.258490e-01
epoch 0013 | 34.79s | train_full 1.148695e-01 | test_full 2.239104e-01
epoch 0014 | 34.58s | train_full 1.095148e-01 | test_full 9.110896e-02
epoch 0015 | 34.45s | train_full 1.062988e-01 | test_full 2.076101e-01
epoch 0016 | 34.36s | train_full 1.010879e-01 | test_full 8.745229e-02
epoch 0017 | 34.84s | train_full 1.082078e-01 | test_full 1.383546e-01
epoch 0018 | 34.56s | train_full 1.111935e-01 | test_full 1.416231e-01
epoch 0019 | 34.27s | train_full 1.027280e-01 | test_full 1.582931e-01
epoch 0020 | 34.35s | train_full 9.098359e-02 | test_full 2.053301e-01
epoch 0021 | 33.76s | train_full 1.184197e-01 | test_full 1.037091e-01
epoch 0022 | 34.33s | train_full 9.996446e-02 | test_full 2.546752e-01
epoch 0023 | 34.28s | train_full 1.025301e-01 | test_full 2.199172e-01
epoch 0024 | 34.42s | train_full 1.097809e-01 | test_full 1.372606e-01
epoch 0025 | 34.35s | train_full 1.003748e-01 | test_full 1.014749e-01
epoch 0026 | 34.33s | train_full 9.156893e-02 | test_full 1.351984e-01
epoch 0027 | 34.29s | train_full 9.824833e-02 | test_full 1.000231e-01
epoch 0028 | 33.89s | train_full 8.517199e-02 | test_full 1.132197e-01
epoch 0029 | 33.89s | train_full 9.716402e-02 | test_full 9.049863e-02
epoch 0030 | 34.18s | train_full 8.806223e-02 | test_full 1.129687e-01
epoch 0031 | 33.82s | train_full 9.398366e-02 | test_full 1.061584e-01
epoch 0032 | 33.78s | train_full 8.664387e-02 | test_full 9.961958e-02
epoch 0033 | 34.35s | train_full 8.543933e-02 | test_full 1.490616e-01
epoch 0034 | 34.42s | train_full 9.075738e-02 | test_full 1.020397e-01
epoch 0035 | 34.30s | train_full 8.726566e-02 | test_full 9.491551e-02
epoch 0036 | 34.45s | train_full 9.501503e-02 | test_full 1.380461e-01
epoch 0037 | 34.34s | train_full 9.017547e-02 | test_full 1.216183e-01
epoch 0038 | 34.89s | train_full 9.628761e-02 | test_full 1.278117e-01
epoch 0039 | 34.53s | train_full 8.772228e-02 | test_full 1.462526e-01
epoch 0040 | 34.58s | train_full 8.379389e-02 | test_full 8.097601e-02
epoch 0041 | 34.37s | train_full 9.155848e-02 | test_full 1.133677e-01
epoch 0042 | 34.54s | train_full 8.162606e-02 | test_full 1.986107e-01
epoch 0043 | 34.14s | train_full 8.301647e-02 | test_full 1.509108e-01
epoch 0044 | 34.51s | train_full 9.826456e-02 | test_full 2.457681e-01
epoch 0045 | 34.11s | train_full 8.757421e-02 | test_full 9.134571e-02
epoch 0046 | 34.32s | train_full 8.612309e-02 | test_full 1.519568e-01
epoch 0047 | 33.76s | train_full 8.215715e-02 | test_full 9.335929e-02
epoch 0048 | 34.59s | train_full 8.581438e-02 | test_full 7.856434e-02
epoch 0049 | 34.02s | train_full 8.574529e-02 | test_full 9.167309e-02
epoch 0050 | 33.85s | train_full 7.730077e-02 | test_full 1.251721e-01
epoch 0051 | 34.55s | train_full 8.143721e-02 | test_full 1.000189e-01
epoch 0052 | 34.74s | train_full 8.614218e-02 | test_full 1.214308e-01
epoch 0053 | 34.46s | train_full 8.191756e-02 | test_full 9.647261e-02
epoch 0054 | 33.88s | train_full 8.360385e-02 | test_full 1.193531e-01
epoch 0055 | 34.05s | train_full 7.932017e-02 | test_full 8.070977e-02
epoch 0056 | 34.82s | train_full 7.913120e-02 | test_full 7.001491e-02
epoch 0057 | 34.84s | train_full 9.020428e-02 | test_full 7.932916e-02
epoch 0058 | 34.42s | train_full 8.222782e-02 | test_full 1.484116e-01
epoch 0059 | 34.43s | train_full 7.517520e-02 | test_full 9.190984e-02
epoch 0060 | 34.43s | train_full 8.775102e-02 | test_full 1.006610e-01
epoch 0061 | 34.21s | train_full 7.961888e-02 | test_full 6.929045e-02
epoch 0062 | 34.47s | train_full 7.567783e-02 | test_full 6.754877e-02
epoch 0063 | 34.32s | train_full 8.032684e-02 | test_full 1.221009e-01
epoch 0064 | 34.04s | train_full 8.161859e-02 | test_full 1.449029e-01
epoch 0065 | 34.23s | train_full 8.401462e-02 | test_full 9.222919e-02
epoch 0066 | 34.22s | train_full 7.316932e-02 | test_full 2.390075e-01
epoch 0067 | 34.46s | train_full 9.685869e-02 | test_full 6.675001e-02
epoch 0068 | 34.63s | train_full 7.672082e-02 | test_full 1.002986e-01
epoch 0069 | 34.32s | train_full 7.739784e-02 | test_full 1.095303e-01
epoch 0070 | 34.35s | train_full 8.057994e-02 | test_full 8.038051e-02
epoch 0071 | 34.47s | train_full 7.297440e-02 | test_full 1.233885e-01
epoch 0072 | 34.74s | train_full 8.060258e-02 | test_full 7.611774e-02
epoch 0073 | 34.96s | train_full 8.065836e-02 | test_full 7.351373e-02
epoch 0074 | 34.50s | train_full 7.244019e-02 | test_full 7.423957e-02
epoch 0075 | 34.33s | train_full 7.292342e-02 | test_full 9.200126e-02
