nohup: ignoring input
CFD-2D data loaded: x (64, 64, 10, 4), y (64, 64, 21, 4), grid (64, 64, 2)
CFD normalization enabled: mean=[5.029595375061035, 24.71432113647461, 3.868645217153244e-05, -0.00010047727118944749], std=[2.9331934452056885, 22.035043716430664, 0.07398594915866852, 0.07406281679868698]
parameters: 2106796
epoch 0000 | 34.86s | train_full 3.061592e-01 | test_full 2.410718e-01
epoch 0001 | 34.48s | train_full 1.727838e-01 | test_full 2.882901e-01
epoch 0002 | 34.18s | train_full 1.454711e-01 | test_full 1.842235e-01
epoch 0003 | 34.28s | train_full 1.424516e-01 | test_full 1.990215e-01
epoch 0004 | 34.14s | train_full 1.600395e-01 | test_full 2.652691e-01
epoch 0005 | 34.45s | train_full 1.401533e-01 | test_full 1.747707e-01
epoch 0006 | 34.47s | train_full 1.389833e-01 | test_full 2.002212e-01
epoch 0007 | 34.53s | train_full 1.313381e-01 | test_full 1.618740e-01
epoch 0008 | 34.32s | train_full 1.097720e-01 | test_full 1.476914e-01
epoch 0009 | 34.25s | train_full 1.219340e-01 | test_full 2.149758e-01
epoch 0010 | 33.88s | train_full 1.212639e-01 | test_full 1.185065e-01
epoch 0011 | 34.35s | train_full 1.167861e-01 | test_full 2.543273e-01
epoch 0012 | 34.48s | train_full 1.242132e-01 | test_full 1.149530e-01
epoch 0013 | 34.31s | train_full 1.077435e-01 | test_full 1.141831e-01
epoch 0014 | 34.44s | train_full 1.116706e-01 | test_full 1.230347e-01
epoch 0015 | 34.87s | train_full 1.054640e-01 | test_full 1.260296e-01
epoch 0016 | 34.06s | train_full 1.149084e-01 | test_full 1.096846e-01
epoch 0017 | 34.70s | train_full 1.110256e-01 | test_full 1.723215e-01
epoch 0018 | 35.15s | train_full 9.795119e-02 | test_full 1.125808e-01
epoch 0019 | 34.73s | train_full 1.124100e-01 | test_full 1.758205e-01
epoch 0020 | 34.77s | train_full 1.003761e-01 | test_full 1.793464e-01
epoch 0021 | 34.15s | train_full 1.022123e-01 | test_full 1.700748e-01
epoch 0022 | 34.20s | train_full 1.043262e-01 | test_full 1.164992e-01
epoch 0023 | 33.97s | train_full 9.748331e-02 | test_full 7.853478e-02
epoch 0024 | 33.91s | train_full 1.025326e-01 | test_full 2.188718e-01
epoch 0025 | 34.39s | train_full 1.083486e-01 | test_full 1.999489e-01
epoch 0026 | 34.53s | train_full 9.057265e-02 | test_full 9.623453e-02
epoch 0027 | 34.00s | train_full 1.009004e-01 | test_full 7.692863e-02
epoch 0028 | 33.86s | train_full 8.555095e-02 | test_full 2.129181e-01
epoch 0029 | 33.77s | train_full 8.342407e-02 | test_full 8.755268e-02
epoch 0030 | 34.26s | train_full 9.351343e-02 | test_full 1.157668e-01
epoch 0031 | 34.45s | train_full 8.712750e-02 | test_full 1.353435e-01
epoch 0032 | 34.54s | train_full 9.046470e-02 | test_full 1.326973e-01
epoch 0033 | 34.54s | train_full 9.170416e-02 | test_full 1.026166e-01
epoch 0034 | 34.49s | train_full 8.941526e-02 | test_full 1.873077e-01
epoch 0035 | 34.53s | train_full 7.872975e-02 | test_full 1.438367e-01
epoch 0036 | 34.48s | train_full 8.121902e-02 | test_full 1.074057e-01
epoch 0037 | 34.37s | train_full 8.186237e-02 | test_full 9.140187e-02
epoch 0038 | 34.56s | train_full 9.045814e-02 | test_full 1.258522e-01
epoch 0039 | 34.49s | train_full 8.361004e-02 | test_full 1.200172e-01
epoch 0040 | 34.60s | train_full 8.751419e-02 | test_full 1.017507e-01
epoch 0041 | 34.95s | train_full 8.750709e-02 | test_full 2.356375e-01
epoch 0042 | 34.48s | train_full 8.643022e-02 | test_full 1.182109e-01
epoch 0043 | 34.82s | train_full 8.279924e-02 | test_full 8.002980e-02
epoch 0044 | 34.46s | train_full 8.982304e-02 | test_full 8.234465e-02
epoch 0045 | 34.00s | train_full 8.632425e-02 | test_full 6.580494e-02
epoch 0046 | 34.21s | train_full 9.314005e-02 | test_full 2.476619e-01
epoch 0047 | 33.79s | train_full 7.736313e-02 | test_full 6.678820e-02
epoch 0048 | 33.97s | train_full 8.260595e-02 | test_full 8.175173e-02
epoch 0049 | 33.74s | train_full 8.719413e-02 | test_full 9.858568e-02
epoch 0050 | 33.92s | train_full 7.023940e-02 | test_full 7.916147e-02
epoch 0051 | 34.60s | train_full 7.453282e-02 | test_full 1.787581e-01
epoch 0052 | 34.70s | train_full 7.400572e-02 | test_full 1.585203e-01
epoch 0053 | 34.43s | train_full 7.758083e-02 | test_full 8.791070e-02
epoch 0054 | 34.42s | train_full 8.739657e-02 | test_full 1.018782e-01
epoch 0055 | 34.45s | train_full 8.158154e-02 | test_full 1.182019e-01
epoch 0056 | 34.35s | train_full 7.908636e-02 | test_full 7.560159e-02
epoch 0057 | 34.48s | train_full 8.493354e-02 | test_full 7.603289e-02
epoch 0058 | 34.52s | train_full 7.571714e-02 | test_full 8.458095e-02
epoch 0059 | 34.38s | train_full 7.452056e-02 | test_full 7.463713e-02
epoch 0060 | 34.58s | train_full 8.027223e-02 | test_full 1.492014e-01
epoch 0061 | 35.10s | train_full 7.431608e-02 | test_full 1.630589e-01
epoch 0062 | 34.61s | train_full 7.595049e-02 | test_full 1.236806e-01
epoch 0063 | 34.68s | train_full 7.645638e-02 | test_full 7.377729e-02
epoch 0064 | 34.53s | train_full 6.889881e-02 | test_full 8.085654e-02
epoch 0065 | 34.35s | train_full 7.854863e-02 | test_full 8.118310e-02
epoch 0066 | 34.16s | train_full 6.811838e-02 | test_full 9.462812e-02
epoch 0067 | 34.57s | train_full 6.958360e-02 | test_full 9.761454e-02
epoch 0068 | 34.70s | train_full 7.358996e-02 | test_full 7.874733e-02
epoch 0069 | 34.57s | train_full 7.164439e-02 | test_full 8.627367e-02
epoch 0070 | 34.55s | train_full 8.237654e-02 | test_full 6.510276e-02
epoch 0071 | 34.74s | train_full 7.504079e-02 | test_full 8.835515e-02
epoch 0072 | 34.61s | train_full 7.860204e-02 | test_full 8.271400e-02
epoch 0073 | 34.58s | train_full 6.646268e-02 | test_full 6.359701e-02
epoch 0074 | 34.31s | train_full 7.049451e-02 | test_full 9.869043e-02
epoch 0075 | 34.31s | train_full 7.183732e-02 | test_full 9.704043e-02
epoch 0076 | 34.37s | train_full 8.179890e-02 | test_full 6.770959e-02
epoch 0077 | 34.08s | train_full 7.034151e-02 | test_full 1.077394e-01
epoch 0078 | 34.07s | train_full 8.219219e-02 | test_full 1.473677e-01
epoch 0079 | 34.52s | train_full 6.958256e-02 | test_full 6.737078e-02
epoch 0080 | 34.47s | train_full 7.089436e-02 | test_full 7.327952e-02
epoch 0081 | 34.32s | train_full 6.780378e-02 | test_full 7.709227e-02
epoch 0082 | 34.37s | train_full 6.733330e-02 | test_full 1.577063e-01
epoch 0083 | 34.32s | train_full 7.455597e-02 | test_full 1.923195e-01
epoch 0084 | 34.25s | train_full 7.754584e-02 | test_full 1.157525e-01
epoch 0085 | 34.10s | train_full 6.732899e-02 | test_full 6.471704e-02
epoch 0086 | 34.08s | train_full 7.405225e-02 | test_full 7.049658e-02
epoch 0087 | 34.31s | train_full 7.380409e-02 | test_full 1.082211e-01
epoch 0088 | 34.41s | train_full 7.155986e-02 | test_full 8.452902e-02
epoch 0089 | 34.38s | train_full 7.218337e-02 | test_full 1.119729e-01
epoch 0090 | 34.65s | train_full 7.236812e-02 | test_full 1.203873e-01
epoch 0091 | 34.98s | train_full 7.150602e-02 | test_full 7.879305e-02
epoch 0092 | 34.50s | train_full 6.747956e-02 | test_full 6.294590e-02
epoch 0093 | 34.07s | train_full 7.655502e-02 | test_full 9.118966e-02
epoch 0094 | 34.04s | train_full 7.136342e-02 | test_full 7.132081e-02
epoch 0095 | 34.43s | train_full 6.807849e-02 | test_full 8.298812e-02
epoch 0096 | 34.78s | train_full 6.783656e-02 | test_full 7.031995e-02
epoch 0097 | 34.47s | train_full 7.467713e-02 | test_full 6.788744e-02
epoch 0098 | 34.93s | train_full 6.666468e-02 | test_full 7.115459e-02
epoch 0099 | 34.31s | train_full 6.865554e-02 | test_full 9.010884e-02
