nohup: ignoring input
NS data loaded: train (1000, 64, 64, 10) -> (1000, 64, 64, 10), test (200, 64, 64, 10)
parameters: 526059
epoch 0000 | 18.06s | train_full 3.685087e-01 | test_full 2.620428e-01
epoch 0001 | 17.39s | train_full 2.379337e-01 | test_full 2.459067e-01
epoch 0002 | 18.70s | train_full 2.090885e-01 | test_full 2.088530e-01
epoch 0003 | 19.09s | train_full 1.959678e-01 | test_full 1.799905e-01
epoch 0004 | 17.76s | train_full 1.824217e-01 | test_full 1.774228e-01
epoch 0005 | 17.38s | train_full 1.740771e-01 | test_full 2.056036e-01
epoch 0006 | 15.11s | train_full 1.725748e-01 | test_full 1.735637e-01
epoch 0007 | 16.92s | train_full 1.667718e-01 | test_full 1.576536e-01
epoch 0008 | 14.51s | train_full 1.621564e-01 | test_full 1.529803e-01
epoch 0009 | 16.98s | train_full 1.595562e-01 | test_full 1.441181e-01
epoch 0010 | 18.94s | train_full 1.552357e-01 | test_full 1.643287e-01
epoch 0011 | 17.62s | train_full 1.512342e-01 | test_full 1.427197e-01
epoch 0012 | 17.75s | train_full 1.512133e-01 | test_full 1.480475e-01
epoch 0013 | 17.47s | train_full 1.512701e-01 | test_full 1.507979e-01
epoch 0014 | 17.08s | train_full 1.444083e-01 | test_full 1.529245e-01
epoch 0015 | 16.81s | train_full 1.423164e-01 | test_full 1.405697e-01
epoch 0016 | 17.22s | train_full 1.412164e-01 | test_full 1.513980e-01
epoch 0017 | 16.45s | train_full 1.382838e-01 | test_full 1.308999e-01
epoch 0018 | 13.36s | train_full 1.397939e-01 | test_full 1.416546e-01
epoch 0019 | 13.29s | train_full 1.391922e-01 | test_full 1.457876e-01
epoch 0020 | 14.03s | train_full 1.396517e-01 | test_full 1.382906e-01
epoch 0021 | 16.77s | train_full 1.328500e-01 | test_full 1.334247e-01
epoch 0022 | 16.87s | train_full 1.358536e-01 | test_full 1.445980e-01
epoch 0023 | 16.74s | train_full 1.339124e-01 | test_full 1.418919e-01
epoch 0024 | 18.34s | train_full 1.320383e-01 | test_full 1.430820e-01
epoch 0025 | 16.83s | train_full 1.325290e-01 | test_full 1.534360e-01
epoch 0026 | 16.71s | train_full 1.283346e-01 | test_full 1.221311e-01
epoch 0027 | 15.58s | train_full 1.233066e-01 | test_full 1.508551e-01
epoch 0028 | 13.42s | train_full 1.337029e-01 | test_full 1.240901e-01
epoch 0029 | 14.53s | train_full 1.234823e-01 | test_full 1.261565e-01
epoch 0030 | 16.68s | train_full 1.305390e-01 | test_full 1.336628e-01
epoch 0031 | 16.97s | train_full 1.275764e-01 | test_full 1.277331e-01
epoch 0032 | 17.00s | train_full 1.230557e-01 | test_full 1.204605e-01
epoch 0033 | 17.81s | train_full 1.216029e-01 | test_full 1.193149e-01
epoch 0034 | 17.55s | train_full 1.209185e-01 | test_full 1.191135e-01
epoch 0035 | 16.00s | train_full 1.189015e-01 | test_full 1.286760e-01
epoch 0036 | 13.93s | train_full 1.351235e-01 | test_full 1.306570e-01
epoch 0037 | 13.37s | train_full 1.209865e-01 | test_full 1.197312e-01
epoch 0038 | 14.70s | train_full 1.216702e-01 | test_full 1.225204e-01
epoch 0039 | 16.42s | train_full 1.183858e-01 | test_full 1.155185e-01
epoch 0040 | 15.20s | train_full 1.231018e-01 | test_full 1.204347e-01
epoch 0041 | 15.59s | train_full 1.137703e-01 | test_full 1.205510e-01
epoch 0042 | 15.36s | train_full 1.194825e-01 | test_full 1.189233e-01
epoch 0043 | 16.74s | train_full 1.202149e-01 | test_full 1.201428e-01
epoch 0044 | 16.72s | train_full 1.187908e-01 | test_full 1.174730e-01
epoch 0045 | 16.26s | train_full 1.152720e-01 | test_full 1.230555e-01
epoch 0046 | 16.20s | train_full 1.173262e-01 | test_full 1.127795e-01
epoch 0047 | 15.46s | train_full 1.134096e-01 | test_full 1.137358e-01
epoch 0048 | 12.88s | train_full 1.142386e-01 | test_full 1.095248e-01
epoch 0049 | 13.15s | train_full 1.176275e-01 | test_full 1.374942e-01
epoch 0050 | 13.73s | train_full 1.195479e-01 | test_full 1.169384e-01
epoch 0051 | 13.67s | train_full 1.144564e-01 | test_full 1.144303e-01
epoch 0052 | 15.25s | train_full 1.115461e-01 | test_full 1.149291e-01
epoch 0053 | 17.76s | train_full 1.130349e-01 | test_full 1.219092e-01
epoch 0054 | 16.85s | train_full 1.220381e-01 | test_full 1.114539e-01
epoch 0055 | 17.05s | train_full 1.148041e-01 | test_full 1.263888e-01
epoch 0056 | 16.76s | train_full 1.141894e-01 | test_full 1.097064e-01
epoch 0057 | 16.20s | train_full 1.073298e-01 | test_full 1.075994e-01
epoch 0058 | 16.78s | train_full 1.065282e-01 | test_full 1.086673e-01
epoch 0059 | 16.90s | train_full 1.101062e-01 | test_full 1.326327e-01
epoch 0060 | 16.58s | train_full 1.256759e-01 | test_full 1.315913e-01
epoch 0061 | 15.26s | train_full 1.200716e-01 | test_full 1.105814e-01
epoch 0062 | 15.76s | train_full 1.039361e-01 | test_full 1.071944e-01
epoch 0063 | 13.00s | train_full 1.105711e-01 | test_full 1.138134e-01
epoch 0064 | 12.89s | train_full 1.062870e-01 | test_full 1.060579e-01
epoch 0065 | 12.74s | train_full 1.076525e-01 | test_full 1.117696e-01
epoch 0066 | 12.88s | train_full 1.094640e-01 | test_full 1.092990e-01
epoch 0067 | 13.07s | train_full 1.033099e-01 | test_full 1.058508e-01
epoch 0068 | 14.86s | train_full 1.072033e-01 | test_full 1.145333e-01
epoch 0069 | 14.24s | train_full 1.151562e-01 | test_full 1.132976e-01
epoch 0070 | 14.18s | train_full 1.120061e-01 | test_full 1.160572e-01
epoch 0071 | 13.35s | train_full 1.041474e-01 | test_full 1.029191e-01
epoch 0072 | 13.42s | train_full 1.049154e-01 | test_full 1.069870e-01
epoch 0073 | 13.76s | train_full 1.051808e-01 | test_full 1.081959e-01
epoch 0074 | 13.48s | train_full 1.104818e-01 | test_full 1.095710e-01
epoch 0075 | 13.63s | train_full 1.016768e-01 | test_full 1.048271e-01
epoch 0076 | 12.80s | train_full 1.069585e-01 | test_full 1.105048e-01
epoch 0077 | 15.64s | train_full 1.144998e-01 | test_full 1.102049e-01
epoch 0078 | 13.10s | train_full 1.100336e-01 | test_full 1.118854e-01
epoch 0079 | 13.12s | train_full 1.047893e-01 | test_full 1.092079e-01
epoch 0080 | 13.45s | train_full 1.136106e-01 | test_full 1.066979e-01
epoch 0081 | 13.60s | train_full 1.024876e-01 | test_full 1.088609e-01
epoch 0082 | 12.92s | train_full 1.101704e-01 | test_full 1.077333e-01
epoch 0083 | 12.88s | train_full 1.025585e-01 | test_full 1.014451e-01
epoch 0084 | 12.91s | train_full 1.018032e-01 | test_full 1.115160e-01
epoch 0085 | 13.67s | train_full 1.055552e-01 | test_full 1.045384e-01
epoch 0086 | 13.40s | train_full 1.002233e-01 | test_full 1.074789e-01
epoch 0087 | 14.20s | train_full 1.117329e-01 | test_full 1.014610e-01
epoch 0088 | 15.34s | train_full 1.025868e-01 | test_full 1.051994e-01
epoch 0089 | 13.67s | train_full 1.002077e-01 | test_full 1.139596e-01
epoch 0090 | 13.56s | train_full 1.085729e-01 | test_full 1.065442e-01
epoch 0091 | 12.94s | train_full 1.101398e-01 | test_full 1.229793e-01
epoch 0092 | 14.01s | train_full 1.007863e-01 | test_full 1.037132e-01
epoch 0093 | 15.79s | train_full 1.005065e-01 | test_full 1.102361e-01
epoch 0094 | 15.55s | train_full 1.071644e-01 | test_full 1.096341e-01
epoch 0095 | 12.77s | train_full 1.077536e-01 | test_full 1.252002e-01
epoch 0096 | 13.63s | train_full 1.054912e-01 | test_full 1.069352e-01
epoch 0097 | 14.98s | train_full 1.049437e-01 | test_full 9.746647e-02
epoch 0098 | 12.97s | train_full 9.750412e-02 | test_full 1.019821e-01
epoch 0099 | 15.33s | train_full 1.007918e-01 | test_full 1.135572e-01
epoch 0100 | 15.62s | train_full 8.862803e-02 | test_full 9.184702e-02
epoch 0101 | 14.19s | train_full 8.433143e-02 | test_full 9.194343e-02
epoch 0102 | 12.81s | train_full 8.523675e-02 | test_full 8.930002e-02
epoch 0103 | 13.01s | train_full 8.242035e-02 | test_full 8.744709e-02
epoch 0104 | 13.83s | train_full 8.256875e-02 | test_full 8.666676e-02
epoch 0105 | 13.20s | train_full 8.216371e-02 | test_full 8.809985e-02
epoch 0106 | 12.96s | train_full 8.221448e-02 | test_full 8.842204e-02
epoch 0107 | 13.21s | train_full 8.504179e-02 | test_full 8.973121e-02
epoch 0108 | 12.70s | train_full 8.566576e-02 | test_full 8.914103e-02
epoch 0109 | 12.68s | train_full 8.224760e-02 | test_full 8.857721e-02
epoch 0110 | 13.61s | train_full 8.398605e-02 | test_full 8.893790e-02
epoch 0111 | 14.66s | train_full 8.272765e-02 | test_full 8.626473e-02
epoch 0112 | 12.84s | train_full 8.208049e-02 | test_full 9.076001e-02
epoch 0113 | 12.83s | train_full 8.518307e-02 | test_full 8.931601e-02
epoch 0114 | 13.03s | train_full 8.572017e-02 | test_full 8.945580e-02
epoch 0115 | 12.84s | train_full 8.486765e-02 | test_full 8.825720e-02
epoch 0116 | 12.85s | train_full 8.424728e-02 | test_full 8.917302e-02
epoch 0117 | 12.85s | train_full 8.551184e-02 | test_full 9.309080e-02
epoch 0118 | 12.86s | train_full 8.362984e-02 | test_full 8.577784e-02
epoch 0119 | 13.31s | train_full 8.223684e-02 | test_full 8.672688e-02
epoch 0120 | 12.84s | train_full 8.380685e-02 | test_full 9.385525e-02
epoch 0121 | 12.83s | train_full 9.130813e-02 | test_full 9.435406e-02
epoch 0122 | 14.13s | train_full 8.340648e-02 | test_full 8.766237e-02
epoch 0123 | 13.37s | train_full 8.107205e-02 | test_full 9.738171e-02
epoch 0124 | 15.90s | train_full 9.390986e-02 | test_full 9.152342e-02
epoch 0125 | 14.44s | train_full 8.408728e-02 | test_full 8.835829e-02
epoch 0126 | 13.70s | train_full 8.043234e-02 | test_full 8.603996e-02
epoch 0127 | 12.84s | train_full 8.033349e-02 | test_full 8.679393e-02
epoch 0128 | 13.07s | train_full 8.215991e-02 | test_full 8.802520e-02
epoch 0129 | 13.41s | train_full 8.715124e-02 | test_full 9.234594e-02
epoch 0130 | 13.40s | train_full 8.506289e-02 | test_full 9.039441e-02
epoch 0131 | 13.44s | train_full 8.076585e-02 | test_full 8.450154e-02
epoch 0132 | 14.88s | train_full 8.286923e-02 | test_full 8.823636e-02
epoch 0133 | 13.58s | train_full 8.443429e-02 | test_full 8.554813e-02
epoch 0134 | 14.51s | train_full 8.699333e-02 | test_full 8.719654e-02
epoch 0135 | 13.34s | train_full 7.914093e-02 | test_full 8.316994e-02
epoch 0136 | 13.41s | train_full 7.920937e-02 | test_full 8.895275e-02
epoch 0137 | 14.43s | train_full 8.238816e-02 | test_full 9.074756e-02
epoch 0138 | 14.87s | train_full 8.237121e-02 | test_full 9.030513e-02
epoch 0139 | 12.86s | train_full 8.026816e-02 | test_full 8.523039e-02
epoch 0140 | 14.57s | train_full 8.087366e-02 | test_full 8.346881e-02
epoch 0141 | 15.08s | train_full 8.081950e-02 | test_full 8.577026e-02
epoch 0142 | 13.76s | train_full 8.100778e-02 | test_full 1.053878e-01
epoch 0143 | 13.35s | train_full 8.482278e-02 | test_full 8.861774e-02
epoch 0144 | 12.95s | train_full 8.082815e-02 | test_full 8.501073e-02
epoch 0145 | 13.17s | train_full 8.050850e-02 | test_full 8.893832e-02
epoch 0146 | 14.63s | train_full 8.071002e-02 | test_full 8.584531e-02
epoch 0147 | 14.69s | train_full 8.206136e-02 | test_full 8.971780e-02
epoch 0148 | 13.12s | train_full 8.394233e-02 | test_full 8.660319e-02
epoch 0149 | 15.03s | train_full 8.264499e-02 | test_full 9.070270e-02
epoch 0150 | 14.29s | train_full 8.019446e-02 | test_full 8.442348e-02
epoch 0151 | 14.29s | train_full 7.905596e-02 | test_full 8.321961e-02
epoch 0152 | 13.72s | train_full 7.910125e-02 | test_full 8.317219e-02
epoch 0153 | 13.12s | train_full 7.733783e-02 | test_full 8.858314e-02
epoch 0154 | 13.29s | train_full 8.292233e-02 | test_full 8.420551e-02
epoch 0155 | 13.59s | train_full 8.204918e-02 | test_full 9.097215e-02
epoch 0156 | 14.14s | train_full 8.519685e-02 | test_full 8.544916e-02
epoch 0157 | 14.36s | train_full 7.952041e-02 | test_full 8.595550e-02
epoch 0158 | 15.24s | train_full 8.007971e-02 | test_full 8.507066e-02
epoch 0159 | 14.03s | train_full 7.831964e-02 | test_full 8.357488e-02
epoch 0160 | 12.79s | train_full 7.860997e-02 | test_full 8.165398e-02
epoch 0161 | 12.88s | train_full 7.653779e-02 | test_full 8.174865e-02
epoch 0162 | 12.95s | train_full 7.657897e-02 | test_full 8.921321e-02
epoch 0163 | 15.06s | train_full 8.285610e-02 | test_full 9.157624e-02
epoch 0164 | 13.69s | train_full 8.269697e-02 | test_full 8.463002e-02
epoch 0165 | 12.88s | train_full 8.310532e-02 | test_full 8.531787e-02
epoch 0166 | 13.29s | train_full 7.912218e-02 | test_full 8.756612e-02
epoch 0167 | 14.65s | train_full 7.862999e-02 | test_full 8.245307e-02
epoch 0168 | 13.05s | train_full 8.120680e-02 | test_full 8.429889e-02
epoch 0169 | 14.81s | train_full 8.295074e-02 | test_full 8.747527e-02
epoch 0170 | 13.26s | train_full 7.791781e-02 | test_full 8.556675e-02
epoch 0171 | 15.23s | train_full 7.880419e-02 | test_full 8.224436e-02
epoch 0172 | 15.69s | train_full 8.116675e-02 | test_full 8.189043e-02
