epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,5.507307,9.38593275e-01,6.77538089e-01,9.04413438e-01,9.04446745e-01,1.51641296e+04,7.32885099e+02,1.34836645e+04,6.60511687e+02,1.00000000e-03
1,5.305279,8.89829621e-01,6.42369958e-01,8.59422580e-01,8.59476891e-01,1.42446084e+04,6.95543575e+02,1.27342740e+04,6.23469042e+02,1.00000000e-03
2,5.219359,8.49109447e-01,6.13003845e-01,8.17676953e-01,8.17755554e-01,1.34825905e+04,6.57151914e+02,1.20511032e+04,5.88638310e+02,1.00000000e-03
3,5.233518,8.10348968e-01,5.85052906e-01,7.77742854e-01,7.77851782e-01,1.27817196e+04,6.21955883e+02,1.14127104e+04,5.56928013e+02,1.00000000e-03
4,5.134696,7.73766642e-01,5.58673394e-01,7.39383541e-01,7.39532063e-01,1.21126518e+04,5.88785939e+02,1.08148128e+04,5.27099768e+02,1.00000000e-03
5,5.317955,7.38359842e-01,5.33148492e-01,7.02359076e-01,7.02559247e-01,1.15078648e+04,5.58361176e+02,1.02500894e+04,4.98312506e+02,1.00000000e-03
6,5.221313,7.04355110e-01,5.08642066e-01,6.67206469e-01,6.67466421e-01,1.10729150e+04,5.35753789e+02,9.71808991e+03,4.71623262e+02,1.00000000e-03
7,5.166998,6.71817246e-01,4.85191356e-01,6.34420076e-01,6.34739313e-01,1.03834480e+04,5.02021424e+02,9.21375481e+03,4.46750368e+02,1.00000000e-03
8,5.105344,6.40786616e-01,4.62837764e-01,6.04854428e-01,6.05239441e-01,9.90616083e+03,4.78500577e+02,8.73901528e+03,4.23562744e+02,1.00000000e-03
9,5.244888,6.12447706e-01,4.42419251e-01,5.78546801e-01,5.79012511e-01,9.55351005e+03,4.61016375e+02,8.29585798e+03,4.01999562e+02,1.00000000e-03
10,5.346450,5.86267837e-01,4.23561881e-01,5.55129535e-01,5.55663805e-01,8.88492155e+03,4.28965462e+02,7.87191720e+03,3.81453689e+02,1.00000000e-03
11,5.249507,5.63092163e-01,4.06856329e-01,5.35681570e-01,5.36238649e-01,8.54020235e+03,4.12146880e+02,7.48669950e+03,3.62760387e+02,1.00000000e-03
12,5.162777,5.42208354e-01,3.91799819e-01,5.19025128e-01,5.19575317e-01,8.07158729e+03,3.89705024e+02,7.12040904e+03,3.45017686e+02,1.00000000e-03
13,5.273936,5.24352475e-01,3.78921330e-01,5.05105504e-01,5.05647999e-01,7.69349038e+03,3.71373244e+02,6.77662619e+03,3.28370307e+02,1.00000000e-03
14,5.248917,5.08218816e-01,3.67275717e-01,4.93970427e-01,4.94503537e-01,7.30103317e+03,3.52460976e+02,6.45602351e+03,3.12832339e+02,1.00000000e-03
15,5.167365,4.94722810e-01,3.57536456e-01,4.85526225e-01,4.86035819e-01,6.99344453e+03,3.37493433e+02,6.16051562e+03,2.98477133e+02,1.00000000e-03
16,5.212227,4.83677498e-01,3.49559595e-01,4.79508828e-01,4.79979447e-01,6.63461411e+03,3.20195861e+02,5.88271143e+03,2.84798490e+02,1.00000000e-03
17,5.187917,4.73806130e-01,3.42431545e-01,4.75664829e-01,4.76108623e-01,6.36808474e+03,3.07045681e+02,5.62629402e+03,2.71868773e+02,1.00000000e-03
18,5.180484,4.66293635e-01,3.37001396e-01,4.73391888e-01,4.73829607e-01,6.29670599e+03,3.02804588e+02,5.38941741e+03,2.59793465e+02,1.00000000e-03
19,5.127891,4.59559055e-01,3.32131124e-01,4.72287308e-01,4.72731271e-01,5.87429217e+03,2.82153562e+02,5.16670811e+03,2.48215831e+02,1.00000000e-03
20,5.058026,4.55075567e-01,3.28877253e-01,4.72382535e-01,4.72836918e-01,5.66903061e+03,2.71515448e+02,4.96229879e+03,2.37437471e+02,1.00000000e-03
21,5.124651,4.51496387e-01,3.26277578e-01,4.73501346e-01,4.73968014e-01,5.42174007e+03,2.58806194e+02,4.77285645e+03,2.27212263e+02,1.00000000e-03
22,5.139764,4.48998299e-01,3.24460755e-01,4.75473822e-01,4.75952642e-01,5.18012835e+03,2.46286384e+02,4.60146090e+03,2.17811170e+02,1.00000000e-03
23,5.174983,4.45466325e-01,3.21999049e-01,4.22859291e-01,4.25120318e-01,4.98737489e+03,2.36278333e+02,4.33165280e+03,2.12249201e+02,1.00000000e-03
24,5.671380,4.12706084e-01,3.01745317e-01,6.06330743e-01,6.36659763e-01,4.86934695e+03,2.37086473e+02,6.31703369e+03,2.64027716e+02,1.00000000e-03
25,5.181799,5.56754296e-01,4.10054124e-01,4.96397639e-01,4.97055439e-01,7.51389855e+03,2.68853679e+02,6.43868834e+03,2.30482290e+02,1.00000000e-03
26,5.786614,5.03569664e-01,3.64027422e-01,4.93722290e-01,4.94371591e-01,7.13895193e+03,2.51690973e+02,6.34961544e+03,2.25364756e+02,1.00000000e-03
27,5.234392,4.99824772e-01,3.61311712e-01,4.91257770e-01,4.91886766e-01,7.01056758e+03,2.44693107e+02,6.26439331e+03,2.20797164e+02,1.00000000e-03
28,5.121199,4.96220056e-01,3.58704768e-01,4.88941057e-01,4.89571695e-01,6.91914615e+03,2.39889875e+02,6.18053331e+03,2.16809055e+02,1.00000000e-03
29,5.304183,4.92661606e-01,3.56138014e-01,4.86771643e-01,4.87404997e-01,6.80636147e+03,2.34848587e+02,6.09537946e+03,2.13070696e+02,1.00000000e-03
30,4.950529,4.89247169e-01,3.53683071e-01,4.84944259e-01,4.85578728e-01,6.74792557e+03,2.31770021e+02,6.00955804e+03,2.09604803e+02,1.00000000e-03
31,4.781367,4.86038856e-01,3.51393702e-01,4.83222987e-01,4.83914151e-01,6.62791068e+03,2.27133925e+02,5.92391985e+03,2.06414517e+02,1.00000000e-03
32,4.891029,4.82743599e-01,3.49023180e-01,4.81710848e-01,4.82409234e-01,6.56078469e+03,2.24302240e+02,5.83821422e+03,2.03472569e+02,1.00000000e-03
33,4.975488,4.79792196e-01,3.46902430e-01,4.80469974e-01,4.81144917e-01,6.39706819e+03,2.18597649e+02,5.75250331e+03,2.00721508e+02,1.00000000e-03
34,4.927930,4.76787360e-01,3.44763039e-01,4.79288568e-01,4.80107300e-01,6.36918412e+03,2.18164970e+02,5.66713504e+03,1.98301143e+02,1.00000000e-03
35,5.562873,4.66234963e-01,3.37281216e-01,4.66004927e-01,4.67234225e-01,5.99674528e+03,2.12106599e+02,4.83485041e+03,1.86365926e+02,1.00000000e-03
36,5.791932,4.47701053e-01,3.23986703e-01,4.65752324e-01,4.67047821e-01,5.29328582e+03,2.00694220e+02,4.76955668e+03,1.84350984e+02,1.00000000e-03
37,5.731634,4.46253438e-01,3.22956944e-01,4.65492918e-01,4.66902115e-01,5.26136390e+03,1.98192802e+02,4.70937284e+03,1.81274108e+02,1.00000000e-03
38,5.102839,4.45918980e-01,3.22760048e-01,4.66545160e-01,4.67936716e-01,5.19838019e+03,1.96232063e+02,4.64903034e+03,1.80027274e+02,1.00000000e-03
39,5.026871,4.44967127e-01,3.22103432e-01,4.70188495e-01,4.71669805e-01,5.22980357e+03,1.96997769e+02,4.59757544e+03,1.79192984e+02,1.00000000e-03
