epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,34.857567,4.12066113e-01,3.06159183e-01,2.23646854e-01,2.41071824e-01,1.21960883e+00,3.15050395e-01,8.68479052e-01,1.23556265e-01,5.00000000e-04
1,34.479697,2.25146259e-01,1.72783762e-01,2.67287791e-01,2.88290099e-01,8.52168665e-01,1.03735355e-01,6.52826825e-01,6.67490941e-02,5.00000000e-04
2,34.179026,1.90420146e-01,1.45471073e-01,1.75875208e-01,1.84223500e-01,6.09362390e-01,6.66908596e-02,4.35923668e-01,4.78201178e-02,5.00000000e-04
3,34.281480,1.87447292e-01,1.42451619e-01,1.85216933e-01,1.99021536e-01,4.57321472e-01,5.10799469e-02,4.54968721e-01,3.92764262e-02,5.00000000e-04
4,34.144766,2.10879263e-01,1.60039509e-01,2.52630433e-01,2.65269127e-01,4.18658827e-01,4.31365509e-02,3.83212844e-01,3.40799782e-02,5.00000000e-04
5,34.449157,1.85568344e-01,1.40153290e-01,1.68579738e-01,1.74770734e-01,3.57383360e-01,3.74589986e-02,3.39514488e-01,3.00208001e-02,5.00000000e-04
6,34.470117,1.84046610e-01,1.38983335e-01,1.91685489e-01,2.00221186e-01,3.34394198e-01,3.35870608e-02,3.10951984e-01,2.72266181e-02,5.00000000e-04
7,34.527968,1.73740402e-01,1.31338069e-01,1.55872452e-01,1.61873967e-01,3.22717303e-01,3.12767733e-02,2.82080205e-01,2.52775019e-02,5.00000000e-04
8,34.324636,1.45074514e-01,1.09772019e-01,1.39996205e-01,1.47691439e-01,2.90499754e-01,2.89987400e-02,2.43212954e-01,2.39362355e-02,5.00000000e-04
9,34.247256,1.61370787e-01,1.21934022e-01,2.04446677e-01,2.14975803e-01,2.77426765e-01,2.78701983e-02,2.37471962e-01,2.26137130e-02,5.00000000e-04
10,33.876239,1.60242000e-01,1.21263859e-01,1.12455446e-01,1.18506470e-01,2.81292090e-01,2.68636151e-02,2.47996865e-01,2.22679617e-02,5.00000000e-04
11,34.347579,1.53892216e-01,1.16786148e-01,2.43803933e-01,2.54327332e-01,2.70132384e-01,2.62593188e-02,2.59648298e-01,2.14792649e-02,5.00000000e-04
12,34.481270,1.63554382e-01,1.24213178e-01,1.09764107e-01,1.14953040e-01,2.63779079e-01,2.58107133e-02,2.37268525e-01,2.10226423e-02,5.00000000e-04
13,34.310781,1.42212674e-01,1.07743479e-01,1.07759522e-01,1.14183147e-01,2.45792087e-01,2.43440176e-02,2.20590752e-01,1.98877779e-02,5.00000000e-04
14,34.439272,1.47406429e-01,1.11670586e-01,1.17728973e-01,1.23034707e-01,2.45371795e-01,2.37707291e-02,2.31371275e-01,1.92041335e-02,5.00000000e-04
15,34.873417,1.38740717e-01,1.05463976e-01,1.17256922e-01,1.26029559e-01,2.28208942e-01,2.34739213e-02,2.11452717e-01,1.88559673e-02,5.00000000e-04
16,34.058324,1.51165445e-01,1.14908423e-01,1.04541948e-01,1.09684588e-01,2.34956490e-01,2.37801738e-02,2.10406180e-01,1.90428394e-02,5.00000000e-04
17,34.700492,1.45782347e-01,1.11025633e-01,1.63038570e-01,1.72321491e-01,2.22680695e-01,2.28207425e-02,2.25651345e-01,1.90699914e-02,5.00000000e-04
18,35.152661,1.28785966e-01,9.79511855e-02,1.06308468e-01,1.12580832e-01,2.05278550e-01,2.27046612e-02,1.96205994e-01,1.80598845e-02,5.00000000e-04
19,34.732800,1.47240600e-01,1.12410033e-01,1.64376977e-01,1.75820463e-01,2.11365686e-01,2.18632844e-02,2.16978906e-01,1.89680103e-02,5.00000000e-04
20,34.766221,1.31387424e-01,1.00376071e-01,1.70413112e-01,1.79346391e-01,2.05621986e-01,2.21426962e-02,2.01228576e-01,1.80018326e-02,5.00000000e-04
21,34.151946,1.33897069e-01,1.02212280e-01,1.55111568e-01,1.70074821e-01,2.01036938e-01,2.24409808e-02,2.10500539e-01,1.86877265e-02,5.00000000e-04
22,34.196704,1.35672479e-01,1.04326226e-01,1.10303746e-01,1.16499167e-01,1.96020816e-01,2.21322489e-02,1.76431486e-01,1.86847740e-02,5.00000000e-04
23,33.972717,1.27181599e-01,9.74833115e-02,7.38494327e-02,7.85347791e-02,2.01990261e-01,2.19446756e-02,1.60129087e-01,1.83281559e-02,5.00000000e-04
24,33.914788,1.33753251e-01,1.02532597e-01,2.05455209e-01,2.18871801e-01,2.02753908e-01,2.20311781e-02,1.96027267e-01,1.79583429e-02,5.00000000e-04
25,34.394369,1.41882123e-01,1.08348603e-01,1.82957428e-01,1.99948881e-01,1.92274681e-01,2.12540635e-02,1.71810232e-01,1.76294204e-02,5.00000000e-04
26,34.529202,1.17878030e-01,9.05726503e-02,8.94401464e-02,9.62345256e-02,1.92805279e-01,2.16327379e-02,1.91130423e-01,1.84571122e-02,5.00000000e-04
27,33.997183,1.30687878e-01,1.00900397e-01,7.21564117e-02,7.69286307e-02,1.88092740e-01,2.18790471e-02,1.44241126e-01,1.75338397e-02,5.00000000e-04
28,33.857602,1.12017908e-01,8.55509544e-02,2.02923751e-01,2.12918134e-01,1.79852197e-01,2.12549099e-02,2.00723093e-01,1.71322296e-02,5.00000000e-04
29,33.774832,1.08963364e-01,8.34240734e-02,8.27725416e-02,8.75526752e-02,1.87132396e-01,2.13752978e-02,1.64945937e-01,1.76614384e-02,5.00000000e-04
30,34.255281,1.22037315e-01,9.35134290e-02,1.05421715e-01,1.15766815e-01,1.82622391e-01,2.14133535e-02,1.45078795e-01,1.78500449e-02,5.00000000e-04
31,34.451935,1.13837326e-01,8.71275021e-02,1.28677206e-01,1.35343480e-01,1.71684643e-01,2.07788236e-02,1.50978339e-01,1.71920973e-02,5.00000000e-04
32,34.539520,1.17450980e-01,9.04647045e-02,1.24509981e-01,1.32697293e-01,1.73054257e-01,2.04967165e-02,1.49842557e-01,1.63193775e-02,5.00000000e-04
33,34.540623,1.18968202e-01,9.17041586e-02,9.74206790e-02,1.02616574e-01,1.72086671e-01,2.03477418e-02,1.56347951e-01,1.70416322e-02,5.00000000e-04
34,34.485206,1.16349373e-01,8.94152643e-02,1.72906942e-01,1.87307667e-01,1.71992276e-01,2.07314914e-02,1.55578774e-01,1.70119951e-02,5.00000000e-04
35,34.525730,1.02628032e-01,7.87297454e-02,1.36684088e-01,1.43836675e-01,1.65292019e-01,2.02607322e-02,1.78840978e-01,1.70566369e-02,5.00000000e-04
36,34.478810,1.05941281e-01,8.12190179e-02,1.01834751e-01,1.07405697e-01,1.63545605e-01,2.03953407e-02,1.35231678e-01,1.64120369e-02,5.00000000e-04
37,34.366866,1.06694970e-01,8.18623683e-02,8.68205529e-02,9.14018654e-02,1.60097757e-01,2.00622533e-02,2.11729529e-01,1.67024203e-02,5.00000000e-04
38,34.563603,1.17750474e-01,9.04581428e-02,1.18305658e-01,1.25852163e-01,1.71834951e-01,2.02374557e-02,1.49310950e-01,1.71496714e-02,5.00000000e-04
39,34.486524,1.08720885e-01,8.36100403e-02,1.12624053e-01,1.20017193e-01,1.70006046e-01,2.07815315e-02,1.51176994e-01,1.66509300e-02,5.00000000e-04
40,34.598826,1.13556320e-01,8.75141879e-02,9.32272531e-02,1.01750749e-01,1.61344419e-01,2.00064308e-02,1.92757306e-01,1.69572188e-02,5.00000000e-04
41,34.947077,1.14326622e-01,8.75070854e-02,2.19769953e-01,2.35637516e-01,1.73888269e-01,2.07114112e-02,1.70568545e-01,1.70762660e-02,5.00000000e-04
42,34.479972,1.12555941e-01,8.64302237e-02,1.10553254e-01,1.18210873e-01,1.61770692e-01,2.01717347e-02,1.60772512e-01,1.61530086e-02,5.00000000e-04
43,34.817306,1.08052581e-01,8.27992362e-02,7.57274796e-02,8.00297959e-02,1.63150909e-01,2.01192578e-02,1.55515008e-01,1.59298053e-02,5.00000000e-04
44,34.462198,1.17462601e-01,8.98230400e-02,7.84184691e-02,8.23446453e-02,1.68505260e-01,2.02848082e-02,1.70319146e-01,1.69266209e-02,5.00000000e-04
45,33.995884,1.12233311e-01,8.63242484e-02,6.19856934e-02,6.58049371e-02,1.56193363e-01,2.02426537e-02,1.34500506e-01,1.58608398e-02,5.00000000e-04
46,34.207172,1.20729911e-01,9.31400542e-02,2.24650028e-01,2.47661869e-01,1.63688281e-01,1.98801352e-02,1.78654829e-01,1.70541003e-02,5.00000000e-04
47,33.785950,1.00437776e-01,7.73631254e-02,6.29011655e-02,6.67882035e-02,1.50735806e-01,1.97317086e-02,1.27438156e-01,1.63477201e-02,5.00000000e-04
48,33.971335,1.07596133e-01,8.26059484e-02,7.71774659e-02,8.17517286e-02,1.59277621e-01,2.00493018e-02,1.51346300e-01,1.59343245e-02,5.00000000e-04
49,33.735865,1.13322325e-01,8.71941285e-02,9.14273562e-02,9.85856818e-02,1.59262855e-01,1.97721539e-02,1.69299176e-01,1.60021436e-02,5.00000000e-04
50,33.924863,9.16530308e-02,7.02393962e-02,7.39002017e-02,7.91614737e-02,1.56066679e-01,1.96516453e-02,1.98924247e-01,1.58877214e-02,5.00000000e-04
