epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,34.734671,3.74361568e-01,2.81931988e-01,1.36418178e-01,1.43725836e-01,1.17277460e+00,2.10260831e-01,7.93418758e-01,5.76934625e-02,1.00000000e-03
1,34.595468,2.19739344e-01,1.67884663e-01,1.70702772e-01,1.82854667e-01,7.48494846e-01,4.58793549e-02,5.25571624e-01,2.88457204e-02,1.00000000e-03
2,34.472017,1.95225603e-01,1.48755211e-01,1.98420219e-01,2.05924923e-01,5.46071145e-01,2.92904513e-02,4.88220646e-01,2.25914538e-02,1.00000000e-03
3,34.469682,2.11110708e-01,1.59945331e-01,1.80119794e-01,1.89183928e-01,4.67559818e-01,2.42369051e-02,4.70116679e-01,2.00411320e-02,1.00000000e-03
4,34.407114,2.14244310e-01,1.62820495e-01,1.74556312e-01,1.88555893e-01,4.36546960e-01,2.18516210e-02,4.77824293e-01,1.80004084e-02,1.00000000e-03
5,34.295881,1.74142881e-01,1.33430387e-01,1.20039945e-01,1.26511780e-01,3.90575241e-01,1.97065756e-02,3.57974742e-01,1.51729528e-02,1.00000000e-03
6,34.339151,1.77543762e-01,1.35547938e-01,1.96732869e-01,2.11788727e-01,3.74597698e-01,1.83289519e-02,3.37612804e-01,1.50447287e-02,1.00000000e-03
7,34.235777,1.75357054e-01,1.33898663e-01,1.32830033e-01,1.38952462e-01,3.54819720e-01,1.74242904e-02,3.05089564e-01,1.45396293e-02,1.00000000e-03
8,34.688246,1.50310737e-01,1.15156047e-01,1.75634974e-01,1.85077119e-01,3.19320263e-01,1.64925415e-02,2.48553169e-01,1.42432353e-02,1.00000000e-03
9,34.657738,1.54649923e-01,1.19506477e-01,1.53540326e-01,1.66561955e-01,3.00622813e-01,1.60537264e-02,2.41437153e-01,1.32347261e-02,1.00000000e-03
10,34.678611,1.66657412e-01,1.28550166e-01,1.03887313e-01,1.10067534e-01,3.09306100e-01,1.58785003e-02,2.73193435e-01,1.30607697e-02,1.00000000e-03
11,34.160754,1.38128385e-01,1.06663568e-01,1.83179348e-01,1.93594245e-01,2.99588031e-01,1.54683917e-02,2.65154450e-01,1.23756871e-02,1.00000000e-03
12,33.852136,1.59694212e-01,1.23012714e-01,1.20428425e-01,1.25849014e-01,2.68860058e-01,1.50255312e-02,2.25983157e-01,1.21457884e-02,1.00000000e-03
13,34.786517,1.49543910e-01,1.14869494e-01,2.08508215e-01,2.23910432e-01,2.65602999e-01,1.44215646e-02,2.41240229e-01,1.23549504e-02,1.00000000e-03
14,34.576532,1.42157540e-01,1.09514793e-01,8.59375102e-02,9.11089636e-02,2.62309144e-01,1.44845066e-02,2.32214450e-01,1.18341774e-02,1.00000000e-03
15,34.447772,1.36670661e-01,1.06298802e-01,1.89655401e-01,2.07610144e-01,2.50195680e-01,1.45346143e-02,2.54106880e-01,1.19242878e-02,1.00000000e-03
16,34.355174,1.31473785e-01,1.01087850e-01,8.22115791e-02,8.74522905e-02,2.54729334e-01,1.43676905e-02,2.15170017e-01,1.15584237e-02,1.00000000e-03
17,34.843286,1.40537945e-01,1.08207795e-01,1.27892677e-01,1.38354644e-01,2.37054197e-01,1.40952552e-02,2.37719627e-01,1.17218007e-02,1.00000000e-03
18,34.555401,1.42860501e-01,1.11193479e-01,1.32818198e-01,1.41623108e-01,2.27161244e-01,1.41733555e-02,2.15714528e-01,1.14254585e-02,1.00000000e-03
