epoch,seconds,train_step_rel_l2,train_full_rel_l2,test_step_rel_l2,test_full_rel_l2,train_pred_mse,train_recon_mse,test_pred_mse,test_recon_mse,lr
0,19.151746,1.65144858e-01,1.69050716e-01,8.70135790e-02,9.08377552e-02,3.02996910e-01,1.38583044e-01,6.59204276e-02,2.46370447e-02,1.00000000e-03
1,17.698976,6.30797173e-02,6.50205520e-02,5.26978568e-02,5.47451827e-02,3.46425193e-02,1.63314460e-02,2.43854625e-02,1.29870259e-02,1.00000000e-03
2,17.653929,4.48581954e-02,4.63174378e-02,4.00657171e-02,4.13769020e-02,1.75571727e-02,9.86393699e-03,1.40312608e-02,8.01543988e-03,1.00000000e-03
3,17.671105,4.13571376e-02,4.30198383e-02,3.28937030e-02,3.34486874e-02,1.50998005e-02,6.25737890e-03,9.21090734e-03,5.32786900e-03,1.00000000e-03
4,18.929700,3.24608018e-02,3.34615547e-02,2.81825474e-02,2.88106588e-02,9.12379077e-03,4.24994747e-03,6.67988732e-03,3.74433669e-03,1.00000000e-03
5,19.609405,2.83599925e-02,2.93447356e-02,2.93155612e-02,3.02842750e-02,6.93257415e-03,3.15214470e-03,7.43949960e-03,2.87998536e-03,1.00000000e-03
6,19.540258,2.76099669e-02,2.86825961e-02,2.40469074e-02,2.46154568e-02,6.62499909e-03,2.53782598e-03,4.96413548e-03,2.39269899e-03,1.00000000e-03
7,19.472688,2.72055653e-02,2.84230883e-02,3.02338020e-02,3.19533476e-02,6.51033242e-03,2.16242944e-03,8.08051315e-03,2.06233170e-03,1.00000000e-03
8,18.073810,2.79498922e-02,2.93003699e-02,2.41543811e-02,2.46583799e-02,7.02522564e-03,1.90283424e-03,4.78555677e-03,1.87482405e-03,1.00000000e-03
9,18.003349,2.34914565e-02,2.43307283e-02,2.31285959e-02,2.36510614e-02,4.79460564e-03,1.70459503e-03,4.43735380e-03,1.69859974e-03,1.00000000e-03
10,17.608840,2.30409936e-02,2.39669628e-02,2.67418317e-02,2.81573997e-02,4.64833723e-03,1.52837079e-03,6.18888552e-03,1.49099214e-03,1.00000000e-03
11,18.689357,2.52680638e-02,2.65195653e-02,2.26319263e-02,2.29617257e-02,5.71542205e-03,1.37664559e-03,4.16378709e-03,1.38075938e-03,1.00000000e-03
12,20.032722,2.15961424e-02,2.23828441e-02,2.27812645e-02,2.36037142e-02,4.05519568e-03,1.24884886e-03,4.41386531e-03,1.23689589e-03,1.00000000e-03
13,18.748700,2.26841145e-02,2.36922478e-02,1.76609598e-02,1.80432829e-02,4.55093987e-03,1.13590682e-03,2.67722483e-03,1.09652645e-03,1.00000000e-03
14,19.561851,1.88465260e-02,1.94579565e-02,1.92609237e-02,1.98683187e-02,3.07640609e-03,1.03103817e-03,3.10947271e-03,1.01748037e-03,1.00000000e-03
15,18.435027,2.03141992e-02,2.11771843e-02,1.86852899e-02,1.91102815e-02,3.69163800e-03,9.42944749e-04,2.91189599e-03,9.58081859e-04,1.00000000e-03
16,19.723624,2.01305471e-02,2.10607717e-02,2.82695833e-02,2.99552596e-02,3.70232145e-03,8.65336621e-04,7.19290003e-03,8.69933947e-04,1.00000000e-03
17,18.071162,2.02152684e-02,2.11033228e-02,2.74710152e-02,2.94311294e-02,3.73129928e-03,7.98084795e-04,6.73287765e-03,7.59832272e-04,1.00000000e-03
18,18.881984,1.97001122e-02,2.05981570e-02,1.65978446e-02,1.71594175e-02,3.50210837e-03,7.37189604e-04,2.40942391e-03,7.16100610e-04,1.00000000e-03
19,17.893097,2.03563280e-02,2.13992702e-02,1.61935618e-02,1.65969292e-02,3.74501436e-03,6.81864901e-04,2.29849938e-03,6.83608686e-04,1.00000000e-03
20,19.056668,1.80294439e-02,1.88614668e-02,1.56269452e-02,1.60151418e-02,2.91232917e-03,6.32984082e-04,2.10162147e-03,6.31166873e-04,1.00000000e-03
21,18.567275,1.83711887e-02,1.92837101e-02,1.65963476e-02,1.71541166e-02,3.02080106e-03,5.87693330e-04,2.36136100e-03,5.92272207e-04,1.00000000e-03
22,18.836484,1.86721661e-02,1.96679078e-02,1.55984534e-02,1.60682901e-02,3.14983508e-03,5.48501985e-04,2.16277818e-03,5.50553708e-04,1.00000000e-03
23,18.007514,1.82496970e-02,1.91134721e-02,1.69829708e-02,1.75345179e-02,2.99969119e-03,5.11934598e-04,2.48466181e-03,5.30867921e-04,1.00000000e-03
